source,brand,temporal_stance,opportunity_area,detectability,n_area,n_cell,proportion,ci_low,ci_high,severity_mean,proximity_weight,oi,gate_reason,ratio,difference,p,n_ajio,n_pool,significant_at_alpha
appstore,myntra,post_purchase,OA-08,moderate,1,609,0.0016420361247947454,0.0002899185268731442,0.009241843296054094,2.0,0.4,0.000657,,1.2638,0.005,0.48454,794.0,845.0,False
appstore,ajio,post_purchase,none,,432,794,0.5440806045340051,0.5093083722981997,0.5784283568803874,2.3398058252427183,,,,1.2806,0.1192,1e-06,794.0,845.0,True
appstore,myntra,post_purchase,none,,518,609,0.8505747126436781,0.8200662570646241,0.8766881707798736,1.8148148148148149,,,,1.2806,0.1192,1e-06,794.0,845.0,True
appstore,nykaa_fashion,post_purchase,none,,359,845,0.42485207100591715,0.39193645029589413,0.4584478603662611,2.3076923076923075,,,,1.2806,0.1192,1e-06,794.0,845.0,True
appstore,ajio,pre_purchase,OA-01,strong,8,49,0.16326530612244897,0.08512698370728838,0.29036338433916836,1.875,0.9,0.146939,,1.3061,0.0383,0.712626,49.0,16.0,False
appstore,nykaa_fashion,pre_purchase,OA-01,strong,2,16,0.125,0.03497748774324044,0.36022827265758695,1.0,0.9,0.1125,,1.3061,0.0383,0.712626,49.0,16.0,False
appstore,myntra,pre_purchase,OA-04,strong,2,16,0.125,0.03497748774324044,0.36022827265758695,2.0,0.7,0.0875,,0.3265,-0.0421,0.397273,49.0,16.0,False
appstore,ajio,pre_purchase,OA-02,strong,4,49,0.08163265306122448,0.03220281766776367,0.1918912759657129,2.5,1.0,0.081633,,,,,,,
appstore,ajio,pre_purchase,OA-12,strong,12,49,0.24489795918367346,0.1460234525833975,0.38086318987603934,2.0,0.3,0.073469,,,,,,,
appstore,myntra,pre_purchase,OA-02,strong,1,16,0.0625,0.011119344764642547,0.28328737570298945,1.0,1.0,0.0625,,,,,,,
appstore,nykaa_fashion,pre_purchase,OA-04,strong,1,16,0.0625,0.011119344764642547,0.28328737570298945,1.0,0.7,0.04375,,0.3265,-0.0421,0.397273,49.0,16.0,False
appstore,myntra,pre_purchase,OA-05,moderate,1,16,0.0625,0.011119344764642547,0.28328737570298945,1.0,0.6,0.0375,,,,,,,
appstore,ajio,pre_purchase,OA-11,strong,3,49,0.061224489795918366,0.02104014667296747,0.16520487835726405,2.0,0.5,0.030612,,,,,,,
appstore,ajio,pre_purchase,OA-03,strong,1,49,0.02040816326530612,0.0036116725898252405,0.10693521523391619,1.0,0.7,0.014286,,,,,,,
